total,category_desc,member,region
20667.80,Lodging,23084,Africa
38691.20,Entertainment,21098,China
186536.60,Lodging,21169,China
9740.90,Lodging,26914,Eastern Europea
68992.40,Entertainment,23013,Africa
28670.60,Communication,27919,Western Europea
100501.60,Electronics,26437,Scandanavian
18992.00,Misc,24188,Mid East / Sout
75114.20,Misc,25720,South American
15230.00,Groceries,23067,Africa
52337.00,Groceries,27876,Western Europea
44111.90,Clothing,23880,China
127456.10,Clothing,25795,South American
60265.30,Groceries,20216,Africa
56150.30,Clothing,26774,Eastern Europea
66017.00,Clothing,25242,Western Europea
8732.00,Home Supplies,21573,Eastern Europea
102314.20,Meals,28171,Western Europea
89420.80,Electronics,20692,Japan
21403.10,Misc,22273,Japan
70508.20,Misc,23805,China
20018.00,Misc,25167,Western Europea
2182.70,Entertainment,20119,China
66563.00,Entertainment,25907,South American
9563.80,Entertainment,23992,China
132244.10,Entertainment,22077,Japan
19812.80,Lodging,22148,Japan
33407.30,Entertainment,22034,Japan
256110.40,Misc,20954,China
72617.60,Misc,24784,South American
79355.00,Communication,28855,Africa
113081.10,Groceries,28812,South American
94243.00,Clothing,20050,Africa
145725.00,Clothing,26178,Scandanavian
98124.70,Clothing,28093,Western Europea
89408.60,Home Supplies,22509,Africa
74030.80,Clothing,24859,South American
197691.90,Clothing,21965,Japan
318.80,Clothing,27753,Western Europea
159364.70,Meals,27235,Eastern Europea
77416.60,Electronics,29288,Scandanavian
218877.60,Electronics,22650,Africa
57278.90,Communication,29834,Japan
170143.80,Misc,22869,Africa
11297.00,Lodging,28786,China
28311.50,Entertainment,21055,China
6970.70,Lodging,24956,South American
94106.20,Entertainment,28715,Eastern Europea
80056.10,Entertainment,24885,Scandanavian
243319.60,Entertainment,26800,Eastern Europea
92948.30,Lodging,28872,South American
59997.80,Entertainment,28801,Scandanavian
167059.70,Communication,29791,Mid East / Sout
72617.60,Misc,20018,Africa
58612.70,Misc,23848,China
73575.20,Electronics,20735,China
84570.50,Clothing,27667,Eastern Europea
74293.40,Home Supplies,25360,South American
82381.70,Groceries,27833,Western Europea
8219.00,Groceries,23110,Africa
49344.50,Groceries,29748,China
4439.90,Meals,29193,Mid East / Sout
234621.80,Misc,20911,China
42179.60,Electronics,25458,South American
108931.90,Misc,28571,Africa
32723.30,Lodging,22191,Japan
51088.70,Lodging,20276,Japan
77587.60,Electronics,29331,Scandanavian
71562.30,Misc,22826,Africa
84701.20,Groceries,26940,Eastern Europea
42333.50,Groceries,25875,South American
64153.10,Clothing,22987,Africa
49030.60,Clothing,21072,China
72070.40,Clothing,27710,Western Europea
4970.00,Home Supplies,27275,Eastern Europea
75473.30,Clothing,27200,Eastern Europea
287551.20,Clothing,23327,Africa
159832.50,Home Supplies,21487,Japan
82091.00,Home Supplies,23402,Africa
20496.80,Home Supplies,22552,Africa
14870.90,Home Supplies,20637,Japan
27713.00,Groceries,21152,China
157695.00,Electronics,21628,Eastern Europea
48096.20,Electronics,20778,China
34946.30,Misc,24231,Mid East / Sout
51943.70,Entertainment,28844,Scandanavian
168872.30,Lodging,28743,Western Europea
119773.30,Misc,21804,Eastern Europea
21112.40,Communication,28005,South American
23386.70,Communication,24175,Mid East / Sout
15537.80,Meals,26342,Scandanavian
39683.00,Groceries,22217,Japan
23363.50,Groceries,23577,Mid East / Sout
61222.90,Clothing,24773,Scandanavian
182541.30,Home Supplies,21104,China
267219.30,Groceries,25492,Scandanavian
116421.70,Home Supplies,22423,Africa
29833.40,Home Supplies,24338,Mid East / Sout
37066.70,Clothing,20519,Japan
40743.20,Electronics,27330,Eastern Europea
11348.30,Meals,24427,Mid East / Sout
54218.00,Communication,29920,Eastern Europea
7757.30,Communication,25154,South American
45901.30,Entertainment,27865,Western Europea
41062.00,Lodging,27807,Western Europea
18256.70,Lodging,25892,South American
5243.60,Entertainment,29780,Mid East / Sout
7295.60,Electronics,27459,Eastern Europea
252096.80,Electronics,23629,Mid East / Sout
80346.80,Misc,22740,Mid East / Sout
84177.20,Electronics,25415,Western Europea
74766.10,Clothing,26688,Eastern Europea
91483.80,Clothing,25709,South American
44379.40,Groceries,29662,Mid East / Sout
80266.20,Groceries,27747,Western Europea
142567.60,Clothing,24349,Mid East / Sout
66848.80,Groceries,28941,Africa
65999.90,Groceries,27962,Western Europea
75917.90,Home Supplies,28168,Western Europea
112334.80,Home Supplies,23019,Africa
111172.00,Home Supplies,25274,Western Europea
9740.90,Meals,20597,Japan
80979.50,Electronics,26394,Scandanavian
20736.20,Communication,28984,Africa
83117.00,Meals,23491,Africa
186530.50,Misc,23719,Mid East / Sout
23814.20,Misc,20825,China
70097.80,Communication,26090,South American
79143.70,Lodging,25042,Scandanavian
43462.10,Lodging,23213,Africa
62779.00,Electronics,24479,Mid East / Sout
7483.70,Misc,29890,China
269403.20,Clothing,29029,Japan
164421.40,Clothing,23923,China
50695.40,Home Supplies,29104,Mid East / Sout
77542.40,Clothing,27114,Eastern Europea
146539.70,Electronics,25630,Scandanavian
85977.60,Misc,23295,Africa
32757.50,Electronics,27840,Western Europea
58504.00,Entertainment,27779,Western Europea
15828.50,Lodging,20362,China
10795.00,Lodging,27893,South American
14836.70,Entertainment,23949,China
100467.40,Communication,23239,Africa
127827.40,Meals,29662,Mid East / Sout
134131.20,Electronics,27545,Eastern Europea
111001.00,Groceries,23196,Africa
124475.80,Groceries,21281,Eastern Europea
129633.90,Clothing,20943,China
63776.90,Home Supplies,21018,China
151368.00,Communication,21324,Eastern Europea
68633.30,Electronics,29460,Scandanavian
27781.40,Meals,27747,Western Europea
79885.10,Misc,28485,Western Europea
12682.10,Lodging,23256,Africa
4781.90,Entertainment,21270,Eastern Europea
41957.30,Lodging,25554,Western Europea
243182.80,Communication,23605,Mid East / Sout
2063.00,Entertainment,28930,Eastern Europea
5790.80,Electronics,27797,Western Europea
47018.90,Electronics,22779,Mid East / Sout
36171.40,Communication,20431,Japan
9523.50,Communication,28091,Western Europea
77895.40,Meals,28726,Scandanavian
56663.30,Misc,25548,Western Europea
84348.20,Home Supplies,27802,South American
26772.50,Electronics,26609,Scandanavian
10168.40,Misc,29378,Scandanavian
326323.00,Communication,24261,Mid East / Sout
134428.00,Clothing,25623,Scandanavian
150848.90,Groceries,23239,Africa
281241.30,Groceries,26133,South American
50575.70,Home Supplies,26167,South American
10613.00,Home Supplies,21954,Japan
22736.90,Home Supplies,26823,Eastern Europea
91763.50,Lodging,21621,Eastern Europea
91541.20,Meals,20683,Japan
87311.40,Entertainment,20334,China
44761.70,Entertainment,29866,Scandanavian
149138.90,Entertainment,26036,South American
155392.60,Communication,22286,Japan
163440.60,Communication,22669,Africa
26806.70,Lodging,24192,Mid East / Sout
82997.30,Entertainment,24547,Mid East / Sout
78329.00,Lodging,24618,Mid East / Sout
184946.30,Electronics,25673,South American
105580.30,Meals,27790,Western Europea
43103.00,Communication,23325,Africa
69522.50,Home Supplies,29164,Africa
72532.10,Misc,28442,Western Europea
16683.50,Meals,23960,China
59690.00,Communication,21367,Eastern Europea
31235.60,Misc,26484,Scandanavian
19026.20,Electronics,28733,Western Europea
42196.70,Misc,22654,Africa
59718.10,Home Supplies,20465,Japan
66626.50,Home Supplies,25784,South American
246523.40,Home Supplies,29657,Western Europea
69026.60,Home Supplies,29997,Japan
165708.80,Home Supplies,26763,Eastern Europea
167493.30,Groceries,25197,Western Europea
110932.60,Communication,28134,Western Europea
134838.40,Lodging,22557,Africa
43633.10,Electronics,21800,Eastern Europea
49116.10,Lodging,27426,Eastern Europea
55186.60,Entertainment,28973,Eastern Europea
58315.90,Lodging,29427,Mid East / Sout
46078.40,Communication,21264,China
130625.70,Lodging,21384,Eastern Europea
34518.80,Meals,23814,China
150980.80,Entertainment,21313,Eastern Europea
73917.20,Communication,25094,South American
130819.90,Lodging,25214,Western Europea
79485.70,Misc,27506,Eastern Europea
142435.70,Misc,23676,Mid East / Sout
120337.60,Communication,26133,South American
59262.50,Groceries,20345,China
76373.50,Misc,28545,Japan
248905.20,Home Supplies,26720,Eastern Europea
264169.40,Clothing,25580,Western Europea
69112.10,Electronics,22736,Mid East / Sout
49498.40,Electronics,28014,South American
78106.70,Lodging,23493,Africa
73729.10,Electronics,26308,Scandanavian
203014.90,Entertainment,29608,China
36553.70,Communication,29860,Africa
97092.60,Entertainment,22675,Africa
41837.60,Lodging,29679,Scandanavian
124458.70,Lodging,24149,Mid East / Sout
102416.80,Electronics,27971,Western Europea
93815.50,Electronics,23801,Mid East / Sout
181509.20,Meals,22088,Japan
9142.40,Lodging,23110,Africa
180637.10,Home Supplies,28125,Western Europea
244830.50,Groceries,20302,China
230255.20,Home Supplies,24762,Scandanavian
67994.50,Clothing,24687,Scandanavian
39050.30,Groceries,24175,Mid East / Sout
64989.80,Electronics,22138,Japan
42743.90,Meals,24513,Mid East / Sout
74874.80,Misc,26441,Scandanavian
73985.60,Entertainment,23271,Africa
68924.00,Meals,21856,Japan
68764.00,Lodging,23725,Mid East / Sout
107033.80,Entertainment,27101,Eastern Europea
20866.90,Entertainment,24842,South American
17760.80,Lodging,27555,Eastern Europea
35596.10,Entertainment,28672,Mid East / Sout
126692.70,Misc,21976,Japan
284.60,Home Supplies,20228,Africa
11895.50,Groceries,24029,China
25832.00,Groceries,20199,Japan
79519.90,Groceries,29705,Japan
74567.00,Home Supplies,27232,South American
143028.10,Groceries,27538,Eastern Europea
8270.30,Clothing,27452,Eastern Europea
152587.00,Groceries,21238,China
33281.50,Groceries,29070,Japan
186371.70,Misc,27652,Eastern Europea
43530.50,Home Supplies,23955,China
110345.10,Misc,27377,Eastern Europea
35681.60,Electronics,27502,South American
130335.00,Electronics,23248,Africa
6998.80,Communication,22432,Africa
122150.20,Electronics,24436,Mid East / Sout
184467.50,Electronics,26142,South American
9364.70,Misc,22783,Mid East / Sout
70257.80,Communication,25326,Western Europea
78938.50,Entertainment,20377,China
106024.90,Lodging,28491,Western Europea
234188.20,Lodging,26021,South American
96494.10,Lodging,24661,Scandanavian
12340.10,Lodging,24982,Scandanavian
104759.50,Home Supplies,24994,Scandanavian
46403.30,Lodging,21152,China
26088.50,Home Supplies,28824,Japan
2011.70,Clothing,22815,Mid East / Sout
104332.00,Clothing,21750,Eastern Europea
108224.70,Home Supplies,20125,China
66244.20,Clothing,21455,Japan
131725.00,Clothing,29582,Africa
33663.80,Groceries,23708,Mid East / Sout
140566.90,Electronics,28438,South American
89711.50,Communication,23196,Africa
56099.00,Meals,29619,Eastern Europea
137636.70,Home Supplies,23505,Africa
133127.20,Electronics,29972,South American
44847.20,Electronics,27078,Eastern Europea
80449.40,Misc,26613,Scandanavian
40275.40,Communication,23093,Africa
105597.40,Entertainment,26331,South American
75484.30,Communication,21733,Eastern Europea
77963.80,Communication,26923,Eastern Europea
277530.60,Entertainment,21141,China
174641.10,Entertainment,29442,China
80699.80,Meals,21516,Japan
2405.00,Meals,23345,Africa
43051.70,Entertainment,24971,Scandanavian
142989.00,Electronics,28567,Africa
70969.90,Meals,23024,Africa
80374.90,Electronics,24737,Scandanavian
260135.00,Clothing,29685,Eastern Europea
47502.60,Home Supplies,25930,South American
31030.40,Clothing,25855,Scandanavian
65692.10,Misc,22886,Mid East / Sout
81640.30,Clothing,20986,China
162061.60,Home Supplies,28721,Africa
81817.40,Clothing,23751,Mid East / Sout
141216.70,Groceries,27364,Eastern Europea
170223.20,Home Supplies,22466,Africa
132147.60,Misc,25677,South American
31047.50,Communication,24132,Mid East / Sout
477052.20,Home Supplies,27335,Eastern Europea
4679.30,Entertainment,22206,Japan
218992.40,Entertainment,20846,China
64631.90,Lodging,26490,Scandanavian
63246.80,Communication,24158,Mid East / Sout
37180.30,Lodging,27850,Western Europea
79673.80,Misc,23252,Africa
75204.60,Communication,27667,Eastern Europea
19960.60,Entertainment,24868,Scandanavian
215184.00,Misc,25972,South American
62488.30,Misc,24612,Mid East / Sout
54833.60,Communication,23837,China
259763.70,Communication,25197,Western Europea
29405.90,Clothing,21089,China
66718.10,Misc,20782,China
28618.10,Groceries,28474,Western Europea
37135.10,Groceries,25709,South American
93695.80,Clothing,27581,Eastern Europea
54542.90,Misc,29481,Western Europea
24156.20,Groceries,28134,Western Europea
99247.20,Groceries,29834,Japan
28373.80,Clothing,24816,Scandanavian
49686.50,Home Supplies,24891,Scandanavian
36177.50,Home Supplies,27656,Eastern Europea
2422.10,Clothing,26221,Scandanavian
9005.60,Meals,20259,Japan
187152.20,Misc,23547,Mid East / Sout
66694.90,Meals,21959,Japan
130762.50,Electronics,22312,Japan
52456.70,Electronics,23672,Mid East / Sout
187585.80,Electronics,25372,Western Europea
17282.00,Communication,26602,Scandanavian
155677.20,Communication,27962,Western Europea
179138.40,Electronics,21568,Eastern Europea
152291.40,Lodging,25726,South American
133726.90,Entertainment,23740,Mid East / Sout
3174.50,Misc,23078,Africa
115618.00,Misc,29206,Japan
71164.10,Communication,22901,Mid East / Sout
87693.70,Meals,21238,China
83794.90,Lodging,27790,Western Europea
102872.40,Groceries,20113,China
77456.90,Entertainment,21974,Japan
31423.70,Clothing,20302,China
51926.60,Clothing,20685,Japan
10442.00,Clothing,25451,South American
43804.10,Misc,25823,Scandanavian
221123.80,Clothing,23536,Mid East / Sout
80158.70,Groceries,23794,Mid East / Sout
27046.10,Home Supplies,27527,Eastern Europea
98466.70,Lodging,25875,South American
187887.50,Entertainment,27719,Western Europea
57341.20,Clothing,25898,South American
21180.80,Home Supplies,20697,Japan
86604.20,Communication,24816,Scandanavian
259797.90,Entertainment,20059,China
72497.90,Misc,23461,Africa
41273.30,Misc,20227,Japan
70679.20,Meals,26983,Western Europea
84245.60,Entertainment,26591,South American
79445.40,Meals,24281,Mid East / Sout
11690.30,Communication,22071,Japan
20890.10,Communication,27859,Western Europea
10168.40,Lodging,24747,Scandanavian
26892.20,Communication,20156,Africa
190264.40,Meals,24664,Scandanavian
27114.50,Electronics,26334,Scandanavian
68547.80,Meals,22366,Japan
110009.20,Communication,25944,South American
175530.30,Meals,20302,China
28824.50,Home Supplies,21676,Eastern Europea
51116.80,Clothing,25345,Western Europea
192925.90,Groceries,21049,China
251442.10,Home Supplies,21250,China
50706.40,Misc,24014,China
43496.30,Meals,29834,Japan
51755.60,Lodging,28726,Scandanavian
79126.60,Groceries,26837,South American
96243.70,Home Supplies,28463,Western Europea
80751.10,Home Supplies,23740,Mid East / Sout
148101.90,Clothing,21281,Eastern Europea
258521.50,Groceries,20943,China
168177.30,Clothing,27409,Eastern Europea
252570.70,Home Supplies,21825,Eastern Europea
1772.30,Groceries,24347,Mid East / Sout
86462.50,Clothing,28898,Western Europea
72480.80,Home Supplies,29293,Mid East / Sout
23876.50,Entertainment,28655,China
153454.20,Misc,28823,Western Europea
