member_noSource,category_desc,Total
224,Clothing,30089.90
228,Clothing,63332.30
309,Clothing,56868.50
312,Clothing,38503.10
321,Clothing,14340.80
323,Clothing,37819.10
325,Clothing,2370.80
389,Clothing,59279.60
420,Clothing,84878.30
484,Clothing,75251.00
492,Clothing,27029.00
493,Clothing,66735.20
497,Clothing,55945.10
498,Clothing,21146.60
544,Clothing,17418.80
571,Clothing,74652.50
587,Clothing,53773.40
619,Clothing,18222.50
632,Clothing,43171.40
642,Clothing,31013.30
667,Clothing,66153.80
670,Clothing,8458.40
673,Clothing,6509.00
689,Clothing,37990.10
721,Clothing,68308.40
752,Clothing,43633.10
822,Clothing,62135.30
839,Clothing,13622.60
857,Clothing,54577.10
868,Clothing,58835.00
875,Clothing,59348.00
882,Clothing,62477.30
900,Clothing,21978.40
904,Clothing,4593.80
914,Clothing,50319.20
948,Clothing,75507.50
955,Clothing,57159.20
956,Clothing,6970.70
962,Clothing,62528.60
978,Clothing,93148.60
988,Clothing,43821.20
999,Clothing,14922.20
1004,Clothing,39341.00
1049,Clothing,21625.40
1057,Clothing,62015.60
1070,Clothing,12425.60
1075,Clothing,41375.90
1086,Clothing,78893.30
1093,Clothing,44624.90
1094,Clothing,8372.90
1099,Clothing,25934.60
1106,Clothing,69283.10
1111,Clothing,6902.30
1113,Clothing,54970.40
1119,Clothing,61981.40
1122,Clothing,47959.40
1132,Clothing,74618.30
1136,Clothing,60151.70
1145,Clothing,63537.50
1171,Clothing,36964.10
1178,Clothing,124099.60
1181,Clothing,28499.60
1182,Clothing,18461.90
1204,Clothing,25028.30
1212,Clothing,10835.30
1222,Clothing,73199.00
1238,Clothing,81663.50
1240,Clothing,8270.30
1250,Clothing,67367.90
1252,Clothing,60049.10
1254,Clothing,1755.20
1268,Clothing,73335.80
1275,Clothing,55244.00
1283,Clothing,31885.40
1285,Clothing,18017.30
1289,Clothing,37203.50
1315,Clothing,48233.00
1316,Clothing,82740.80
1317,Clothing,8236.10
1320,Clothing,23797.10
1335,Clothing,12083.60
1342,Clothing,62904.80
1349,Clothing,37819.10
1357,Clothing,84656.00
1370,Clothing,36827.30
1374,Clothing,3858.50
1375,Clothing,76653.20
1378,Clothing,42059.90
1379,Clothing,66256.40
1387,Clothing,19163.00
1402,Clothing,3773.00
1407,Clothing,30175.40
1420,Clothing,74310.50
1424,Clothing,26122.70
1430,Clothing,128767.90
1435,Clothing,83954.90
1440,Clothing,38161.10
1444,Clothing,59638.70
1454,Clothing,31406.60
1456,Clothing,94106.20
1457,Clothing,61895.90
1482,Clothing,57997.10
1500,Clothing,36462.10
1507,Clothing,66506.80
1513,Clothing,16871.60
1515,Clothing,60014.90
1517,Clothing,77508.20
1524,Clothing,37699.40
1526,Clothing,54577.10
1533,Clothing,14956.40
1534,Clothing,31321.10
1536,Clothing,84194.30
1554,Clothing,63520.40
1565,Clothing,72309.80
1566,Clothing,72241.40
1572,Clothing,54964.30
1573,Clothing,31885.40
1574,Clothing,77610.80
1576,Clothing,59501.90
1581,Clothing,69676.40
1587,Clothing,25387.40
1606,Clothing,77320.10
1610,Clothing,75251.00
1614,Clothing,64358.30
1616,Clothing,80073.20
1621,Clothing,29405.90
1624,Clothing,10048.70
1628,Clothing,37973.00
1631,Clothing,5807.90
1637,Clothing,81680.60
1644,Clothing,95844.30
1648,Clothing,77884.40
1650,Clothing,5089.70
1652,Clothing,22292.30
1653,Clothing,14665.70
1657,Clothing,74019.80
1661,Clothing,10253.90
1672,Clothing,6115.70
1695,Clothing,335.90
1696,Clothing,32022.20
1700,Clothing,35972.30
1703,Clothing,15931.10
1704,Clothing,84023.30
1706,Clothing,8184.80
1709,Clothing,72378.20
1721,Clothing,108230.80
1722,Clothing,54474.50
1728,Clothing,5209.40
1734,Clothing,69556.70
1737,Clothing,51835.00
1739,Clothing,32210.30
1744,Clothing,73267.40
