member_noSource,Month_Name,region_noSource,gender,Total
63,Juillet,8,0,564.3
63,Octobre,8,0,8048
80,Juin,7,1,437.8
80,Septembre,7,1,6208
83,Juin,5,0,3653.1
83,Septembre,5,0,52976
84,Août,2,0,26848
84,Mai,2,0,1856.8
89,Juin,4,0,1667.6
89,Septembre,4,0,24096
91,Juin,7,0,2002
91,Septembre,7,0,28960
98,Août,2,1,5216
98,Mai,2,1,369.6
104,Avril,5,1,4623.3
104,Juillet,5,1,67088
110,Juin,2,1,78480
110,Mars,2,1,5406.5
129,Juin,7,0,42896
129,Mars,7,0,2960.1
139,Juin,6,0,4051.3
139,Septembre,6,0,58768
150,Août,8,1,41056
150,Mai,8,1,2833.6
156,Juin,4,1,5138.1
156,Septembre,4,1,74576
158,Avril,9,1,3158.1
158,Juillet,9,1,45776
160,Juillet,8,1,135.3
160,Octobre,8,1,1808
171,Août,8,0,45328
171,Mai,8,0,3127.3
191,Août,7,0,4816
191,Mai,7,0,342.1
209,Juin,3,0,61712
209,Mars,3,0,4253.7
211,Juin,7,0,76224
211,Mars,7,0,5251.4
212,Juin,9,1,1138.5
212,Septembre,9,1,16400
217,Juin,9,0,1155
217,Septembre,9,0,16640
219,Juin,3,0,20176
219,Mars,3,0,1398.1
224,Juin,9,1,28144
224,Mars,9,1,1945.9
228,Juin,2,1,4084.3
228,Septembre,2,1,59248
237,Août,3,0,56784
237,Juillet,3,0,218.9
237,Mai,3,0,3914.9
237,Octobre,3,0,3024
238,Juin,5,1,27088
238,Mars,5,1,1873.3
243,Août,3,0,55776
243,Avril,3,0,1504.8
243,Juillet,3,0,21728
243,Mai,3,0,3845.6
256,Juin,4,1,135.3
256,Septembre,4,1,1808
258,Août,3,1,9232
258,Mai,3,1,645.7
259,Juin,5,0,2978.8
259,Septembre,5,0,43168
260,Août,9,1,58880
260,Mai,9,1,4059
269,Juillet,8,0,5446.1
269,Octobre,8,0,79056
272,Avril,9,1,5115
272,Juillet,9,1,74240
273,Juin,9,0,3067.9
273,Septembre,9,0,44464
276,Juin,2,1,2379.3
276,Septembre,2,1,34448
277,Juin,8,0,1398.1
277,Septembre,8,0,20176
282,Avril,4,1,4904.9
282,Juillet,4,1,71184
287,Août,5,0,41856
287,Avril,5,0,2396.9
287,Juillet,5,0,34704
287,Mai,5,0,2888.6
292,Juin,5,1,37968
292,Mars,5,1,2621.3
295,Juillet,3,0,1843.6
295,Octobre,3,0,26656
299,Août,2,0,74992
299,Mai,2,0,5166.7
301,Avril,8,0,4981.9
301,Juillet,8,0,72304
302,Juillet,4,1,57.2
302,Octobre,4,1,672
307,Avril,9,0,2805
307,Juillet,9,0,40640
309,Août,2,0,53200
309,Mai,2,0,3668.5
311,Août,9,0,49072
311,Mai,9,0,3384.7
312,Avril,7,1,2487.1
312,Juillet,7,1,36016
316,Août,3,1,71440
316,Mai,3,1,4922.5
317,Juin,7,0,2137.3
317,Septembre,7,0,30928
318,Août,3,1,52320
318,Mai,3,1,3608
319,Juin,3,0,45744
319,Mars,3,0,3155.9
321,Juin,4,0,932.8
321,Septembre,4,0,13408
322,Avril,6,1,5152.4
322,Juillet,6,1,74624
323,Juin,6,0,35376
323,Mars,6,0,2443.1
325,Juillet,9,0,162.8
325,Octobre,9,0,2208
326,Avril,6,1,2341.9
326,Juillet,6,1,33904
326,Juin,6,1,5120.5
326,Septembre,6,1,74320
327,Juin,9,0,398.2
327,Septembre,9,0,5632
334,Août,6,1,44208
334,Avril,6,1,1978.9
334,Juillet,6,1,28624
334,Mai,6,1,3050.3
335,Juin,3,0,864.6
335,Septembre,3,0,12416
340,Août,5,1,40480
340,Mai,5,1,2794
343,Août,3,0,75280
343,Mai,3,0,5186.5
344,Avril,7,1,3572.8
344,Juillet,7,1,51808
347,Juillet,8,0,3415.5
347,Octobre,8,0,49520
350,Avril,6,1,427.9
350,Juillet,6,1,6064
355,Juin,9,0,25504
355,Mars,9,0,1764.4
362,Août,4,1,10544
362,Juin,4,1,1364
362,Mai,4,1,735.9
362,Septembre,4,1,19680
366,Juin,3,1,3253.8
366,Septembre,3,1,47168
371,Juin,8,0,66032
371,Mars,8,0,4550.7
372,Août,5,1,35872
372,Juillet,5,1,4118.4
372,Mai,5,1,2477.2
372,Octobre,5,1,59744
374,Juillet,2,1,2525.6
374,Octobre,2,1,36576
375,Avril,2,0,3650.9
375,Juillet,2,0,52944
377,Juin,3,0,38360.5
377,Mars,3,0,2387
377,Septembre,3,0,55120
378,Juin,5,1,2841.3
378,Septembre,5,1,41168
385,Août,6,0,55360
385,Mai,6,0,3817
389,Août,6,0,55456
389,Mai,6,0,3823.6
393,Avril,9,0,2070.2
393,Juillet,9,0,29952
395,Août,6,0,64592
395,Mai,6,0,4451.7
400,Juillet,5,1,4513.3
400,Octobre,5,1,65488
401,Août,2,0,79264
401,Avril,2,0,2843.5
401,Juillet,2,0,41200
401,Mai,2,0,5460.4
404,Avril,9,1,2878.7
404,Juillet,9,1,41712
405,Avril,7,0,4134.9
405,Juillet,7,0,59984
414,Juillet,4,1,4408.8
414,Octobre,4,1,63968
418,Juillet,3,1,3877.5
418,Octobre,3,1,56240
420,Juillet,8,1,5470.3
420,Octobre,8,1,79408
421,Avril,3,0,148.5
421,Juillet,3,0,2000
425,Avril,8,0,3733.4
425,Juillet,8,0,55116.4
425,Octobre,8,0,13984
432,Juillet,4,1,4466
432,Octobre,4,1,64800
433,Juillet,7,0,379.5
433,Octobre,7,0,5360
434,Août,3,1,4592
434,Avril,3,1,3407.8
434,Juillet,3,1,49408
434,Mai,3,1,326.7
437,Juin,3,0,1216.6
437,Septembre,3,0,17536
448,Août,4,1,35280
448,Mai,4,1,2436.5
454,Juin,5,1,3349.5
454,Septembre,5,1,48400
457,Juin,5,0,55360
457,Mars,5,0,3817
458,Août,9,1,20672
458,Juin,9,1,179.3
458,Mai,9,1,1432.2
458,Septembre,9,1,2448
462,Août,4,1,12992
462,Avril,4,1,330
462,Juillet,4,1,4640
462,Juin,4,1,45520
462,Mai,4,1,904.2
462,Mars,4,1,3140.5
463,Août,9,0,43824
463,Mai,9,0,3023.9
464,Avril,6,1,3226.3
464,Juillet,6,1,46768
469,Juin,6,0,4577.1
469,Septembre,6,0,66416
481,Juillet,3,0,713.9
481,Octobre,3,0,10224
484,Août,6,1,70400
484,Avril,6,1,4297.7
484,Juillet,6,1,62352
484,Mai,6,1,4851
485,Août,2,0,42608
485,Mai,2,0,2940.3
488,Juin,6,1,52153.6
488,Mars,6,1,3577.2
488,Septembre,6,1,3936
492,Août,4,1,25280
492,Juillet,4,1,1732.5
492,Juin,4,1,75120
492,Mai,4,1,1749
492,Mars,4,1,5175.5
492,Octobre,4,1,25040
493,Juin,5,0,62432
493,Mars,5,0,4303.2
497,Avril,7,0,2399.1
497,Juillet,7,0,34736
497,Juin,7,0,3609.1
497,Septembre,7,0,52336
498,Août,2,1,19776
498,Avril,2,1,5237.1
498,Juillet,2,1,76016
498,Mai,2,1,1370.6
499,Juin,3,0,5277.8
499,Septembre,3,0,76608
500,Août,2,1,71744
500,Juillet,2,1,1400.3
500,Mai,2,1,4943.4
500,Octobre,2,1,20208
503,Juin,4,0,4086.5
503,Septembre,4,0,59280
504,Août,3,1,11536
504,Mai,3,1,804.1
507,Juin,5,0,2292.4
507,Septembre,5,0,33184
514,Avril,8,1,2377.1
514,Juillet,8,1,34451.2
514,Octobre,8,1,352
518,Juin,7,1,2735.7
518,Septembre,7,1,39632
520,Août,8,1,69376
520,Mai,8,1,4780.6
525,Août,7,0,3216
525,Mai,7,0,232.1
