member_noSource,Month,Total
8996,3,4424.20
9587,3,20645.90
7626,3,4415.40
4409,3,6281.00
7315,3,9786.70
4575,3,4617.80
5634,3,3168.00
9162,3,4290.00
6579,3,6774.90
8426,3,1789.70
7835,3,10497.30
9796,3,206.80
9371,3,7586.70
8001,3,998.80
2626,3,2149.40
6731,3,1599.40
8692,3,3127.30
6420,3,5436.20
5361,3,3763.10
7676,3,7022.40
8578,3,10459.90
9637,3,15486.90
2310,3,1029.60
3255,3,5079.80
6586,3,840.40
4200,3,825.00
6472,3,2526.70
7531,3,5764.00
9846,3,16977.40
8787,3,10818.50
1574,3,9115.70
4834,3,1197.90
6795,3,4985.20
5736,3,1541.10
9421,3,10947.20
3578,3,3110.80
8051,3,11222.20
5368,3,158.40
9955,3,36971.00
8742,3,14507.90
9998,3,29543.80
1840,3,3564.00
4943,3,3404.50
9219,3,16256.90
4632,3,6538.40
6636,3,5396.60
3896,3,4248.20
3305,3,4847.70
1624,3,656.70
9314,3,6586.80
5107,3,9951.70
7576,3,10286.10
6954,3,4310.90
6052,3,6515.30
3623,3,4265.80
8210,3,1713.80
1465,3,674.30
6529,3,2911.70
5627,3,10082.60
8844,3,4320.80
1631,3,968.00
8419,3,5489.00
7163,3,3039.30
1740,3,4664.00
6327,3,5054.50
5268,3,3339.60
9430,3,11281.60
3941,3,5712.30
4107,3,650.10
7481,3,3876.40
8694,3,6325.00
2851,3,1519.10
1835,3,2922.70
2894,3,3495.80
9962,3,19146.60
8903,3,4225.10
5318,3,4657.40
1322,3,5066.60
5007,3,399.30
8110,3,6019.20
3637,3,2851.20
4893,3,3690.50
5216,3,2434.30
7063,3,7799.00
9689,3,6847.50
9378,3,7462.40
6638,3,6663.80
4323,3,4129.40
6270,3,694.10
7640,3,5287.70
8274,3,18243.50
9487,3,5242.60
7806,3,3923.70
9062,3,11828.30
7849,3,7742.90
8751,3,3545.30
4164,3,4291.10
3428,3,3235.10
6999,3,694.10
3580,3,4544.10
7742,3,8159.80
9112,3,827.20
2210,3,6337.10
3269,3,2494.80
6372,3,4079.90
8687,3,8082.80
9746,3,10377.40
1899,3,4532.00
8376,3,2787.40
3478,3,438.90
7006,3,4250.40
8065,3,9955.00
5325,3,1178.10
9010,3,3953.40
9387,3,17210.60
1272,3,947.10
3898,3,1582.90
3119,3,3747.70
8060,3,1812.80
7749,3,910.80
9907,3,17551.60
9171,3,3570.60
7801,3,3058.00
4584,3,1413.50
6545,3,2832.50
3962,3,5655.10
6588,3,4771.80
6220,3,1252.90
3905,3,1216.60
2110,3,8841.80
4114,3,5753.00
4425,3,738.10
5961,3,5655.10
8587,3,3925.90
6906,3,3752.10
5536,3,9325.80
4634,3,4554.00
7851,3,7915.60
9221,3,10315.80
8442,3,4002.90
9698,3,11246.40
6113,3,3645.40
9444,3,11609.40
8542,3,4049.10
9330,3,31259.80
7692,3,6287.60
2160,3,3503.50
6436,3,2767.60
9539,3,2589.40
3696,3,5716.70
4007,3,6040.10
4952,3,6237.00
6913,3,8195.00
1113,3,721.60
6177,3,3863.20
8803,3,4803.70
9862,3,13642.20
3848,3,7312.80
5809,3,4030.40
9494,3,5649.60
5384,3,1026.30
7699,3,5046.80
8010,3,3765.30
9703,3,18020.20
7274,3,4340.60
8333,3,7466.80
4959,3,324.50
9278,3,5062.20
5904,3,4879.60
4691,3,11148.50
7908,3,9300.50
6538,3,9191.60
8328,3,5555.00
2485,3,1446.50
4757,3,726.00
7072,3,246.40
5391,3,5309.70
6336,3,7068.60
7238,3,484.00
9864,3,13686.20
8183,3,8182.90
7124,3,2577.30
7592,3,13343.00
8494,3,3968.80
690,3,3324.20
6813,3,7962.90
5911,3,10523.70
8069,3,2052.60
8703,3,12435.50
3171,3,6238.10
6431,3,4106.30
8024,3,3630.00
9280,3,9205.90
4859,3,4813.60
