id,member_noSource,total
20001,6114,257769.10
20002,6059,791893.80
20003,7618,743084.30
20004,569,68958.20
20006,2137,18615.80
20008,2134,164688.90
20009,7619,483321.80
20010,5714,386017.90
20011,6589,585789.90
20012,8734,990330.80
20013,7073,316249.90
20014,5725,503573.10
20015,1059,61519.70
20016,5731,386307.40
20017,7610,800032.20
20018,5747,802769.40
20019,7640,842993.50
20020,8724,830048.80
20021,1063,39477.80
20022,5745,216210.00
20023,8171,649051.40
20024,8728,1045968.10
20025,1655,74207.90
20026,2113,195451.80
20027,7043,323284.10
20028,5659,247206.20
20029,7641,371562.30
20030,8680,493722.30
20031,7638,518084.90
20032,8677,841038.00
20033,6924,367207.90
20035,8330,998477.70
20036,5909,638178.20
20037,1420,74310.50
20038,8717,1078591.20
20039,9912,1958399.80
20040,5768,622463.30
20041,7623,522684.80
20042,8702,1067492.10
20043,9894,1720040.40
20044,8700,925529.10
20045,7835,934895.00
20047,9983,2329269.60
20048,5801,617583.70
20050,5802,543096.10
20052,5770,254428.50
20053,8084,825033.60
20054,8679,718312.50
20055,9990,2249495.60
20056,5805,219779.00
20057,8335,882489.60
20058,5812,488479.90
20059,9896,2148900.00
20060,8687,868518.90
20062,5813,381330.10
20063,9972,2359184.80
20064,8685,1021904.70
20065,9917,1840192.40
20066,5814,427170.30
20067,9960,2536902.70
20068,5818,375655.30
20070,8694,1030846.80
20071,6971,571750.80
20072,2092,195531.20
20073,6520,709615.90
20074,8703,732471.30
20075,1463,168222.50
20076,5916,360549.90
20077,6988,319606.40
20078,625,59017.00
20080,2056,123631.80
20081,1465,10322.30
20082,2055,102382.60
20084,2047,42652.30
20085,6523,519259.90
20086,603,39717.20
20088,5858,298762.70
20089,8140,758701.50
20090,8660,719767.20
20091,6528,308948.20
20092,5862,556076.20
20093,7757,699948.30
20094,2044,165458.40
20096,8656,867012.90
20097,7755,659974.60
20098,5901,604001.40
20099,783,26789.60
20100,2027,78055.40
20101,785,2986.40
20102,2030,178300.50
20103,6976,522400.20
20104,611,57170.20
20105,1437,100433.20
20107,6970,507888.40
20108,5872,399406.00
20109,7731,889556.80
20110,2062,16854.50
20111,6540,367646.40
20112,8632,786148.20
20113,6542,671682.00
20114,8676,909837.40
20115,7016,227871.00
20116,5904,568181.80
20118,626,58766.60
20119,7736,566672.10
20120,8629,603874.40
20121,8123,723630.60
20122,5921,97468.80
20123,7711,955932.90
20124,5931,366746.20
20125,7709,710230.30
20126,2009,6987.80
20127,1440,62556.70
20128,5908,295519.80
20129,7025,316882.60
20131,1122,127912.90
20132,8619,944203.50
20133,7741,943182.40
20134,8618,751360.70
20135,6962,417645.60
20136,5941,185042.80
20137,7622,393962.10
20138,8612,756171.90
20139,9924,2085027.80
20140,5950,324770.60
20141,7086,472412.00
20142,5968,393416.10
20143,464,49994.30
20144,5972,437100.50
20145,4670,327946.30
20146,8622,792770.80
20147,2621,83698.40
20148,5902,518963.10
20149,9203,1104434.20
