member_noSource;charge;amt
5834;187;553699.3
2917;51;134934.9
7162;170;503910.2
1566;51;144733.2
2894;68;151584.2
8513;272;659483.6
7185;221;593684
5788;119;379030.1
1543;51;118330.8
4460;119;324669.2
1374;17;3858.5
1520;17;13605.5
1397;34;11769.7
5811;136;388035.7
7139;153;458225.1
1420;17;74310.5
5665;102;282198.9
2748;85;238018.6
4414;34;96226.6
3086;68;196745.3
6993;221;476737.1
4437;102;255129.6
5642;136;291266.8
4314;51;144288.6
5765;119;348575
2771;68;133321.4
4291;85;131947.3
3040;102;256839.6
4122;68;157415.3
1712;17;35476.4
2794;119;309210.8
5619;204;560139.9
1735;17;58133.9
4268;68;208817.9
3063;17;78585.5
4145;153;311866.2
2940;34;41215.9
2817;102;257728.8
1251;17;63246.8
4168;68;224891.9
5496;68;204337.7
8828;323;762116.6
4560;136;191761.9
8390;340;924321.1
3232;68;43700.3
7062;187;543080.2
2625;51;109165.2
6870;136;302433.1
5542;187;661702.9
1297;34;89027.5
7016;153;227871
4606;51;56121
5934;204;418569
5688;136;446227
8244;425;1109534.9
6916;272;756680
6080;170;295751.9
4752;153;307471.5
9910;731;1847341.4
7308;306;567610.2
8974;391;1040446
5980;119;242555
8290;340;962043.7
9618;391;938495.8
7208;221;524531.6
6126;272;512628.8
8536;340;786443.8
7454;170;481115.9
7600;238;585829
8436;306;887841.9
9764;697;1772472.7
8682;425;1192829
8928;425;932943.2
7577;204;395261.7
8075;204;603676.5
2004;34;54331.6
2502;68;164221.1
6724;85;108913.6
3853;68;165965.3
6226;119;273488.9
3355;119;103754.3
3378;51;169049.4
6203;136;384188.2
1128;34;117413.5
9120;612;1546817.4
9449;612;1769664.6
2479;68;139751
4852;136;356315.2
9143;442;1095199
4729;51;125786.4
8098;272;617947.7
5250;119;404680.1
4829;34;17002.3
507;17;35476.4
2671;51;206122.2
607;17;24515.3
3478;136;319909.3
6601;323;723299.6
3976;136;179193.4
1812;68;204867.8
3455;85;205460.2
3876;136;254450.5
4045;68;190948.4
4537;136;354331.6
1981;68;117264.5
2104;102;243484.5
3186;119;244589.9
5227;136;366267.4
5350;102;239517.3
9741;425;1068973.7
836;17;48438.2
9243;442;1154433.4
5911;136;336975.1
5519;187;465907.9
9349;442;1015034.2
8851;442;1166181.1
5021;187;448038.4
5058;119;351020.3
7285;85;164847.7
8367;408;889344.3
2210;85;253511.2
6893;221;626413.4
2602;136;267190
3684;85;126971.2
3647;85;123243.4
7975;272;884417
6495;119;175933.4
8659;357;812617.8
8267;255;610806
9933;748;1784202.1
7769;255;669715.5
6103;170;380277.2
2310;34;68097.1
7869;255;725820.6
8951;306;994238.1
7477;187;544567.9
8559;221;553926.5
9641;578;1366185.2
6395;187;473842.3
7992;442;1362591.7
2087;68;99583.1
8015;306;1037227.5
736;34;21226
6687;187;641952.4
9226;340;753851.2
2064;17;43239.8
1068;17;11690.3
9011;272;487714.1
9203;391;1104434.2
5121;136;228219.1
3793;17;34484.6
8038;425;999838.4
9034;374;798435.8
8207;408;1063217.1
4789;102;306686.1
7706;136;325825.9
9057;272;783492.8
8184;442;1201680.7
9512;408;819661.8
9180;255;622280.1
4766;85;163907.2
3770;136;370508.2
4835;85;275433.4
3601;119;277986.2
6478;170;406354.7
9435;510;1176177.3
4812;136;425211.1
2373;102;293724.3
7537;238;827982.1
6286;153;357112.8
4958;51;155352.3
6455;119;392351
1045;17;25472.9
9704;476;1362494
4981;153;341620.2
6432;136;374133.4
6309;255;665560.2
7514;187;556606.3
3753;119;298796.9
421;17;2148.5
9658;510;1030160.4
7560;153;427923.9
6956;255;623374.5
2542;68;123181.1
2296;34;89916.7
7952;255;656822.1
375;17;56594.9
3707;102;243022.8
6624;289;676030.3
3624;102;230266.2
3561;51;140885.7
3315;68;118649.6
9266;510;1275254.7
2688;119;320941.4
4643;51;130146.9
2233;51;123614.7
3169;102;312705.3
9074;272;811981.4
1005;34;63052.6
6910;187;396037.3
8144;187;427963
3816;68;151601.3
4208;170;419983.4
9372;391;1057306.6
6372;204;398066.1
3123;102;113439
2041;68;144487.7
5290;136;253783.6
2977;34;170047.3
5436;119;236963.3
6518;272;712185.8
1895;51;129069.6
1649;34;102502.3
6764;255;750359.1
813;51;143142.9
567;34;63565.6
7846;238;633538
1672;85;252981.1
4683;102;250119.3
4898;187;532700.5
5396;119;469164.2
5894;119;284603.9
4185;119;292401.5
8121;357;815883.9
7125;204;408240.6
5871;221;556491.5
4875;85;179998.3
1460;34;39642.7
4706;85;224218.9
2456;17;12784.7
1151;34;65070.4
7102;170;464101.4
4397;119;280739.3
8576;391;1115617.6
1437;34;100433.2
484;34;141900.7
2648;34;123278.8
8642;323;667844.3
8599;374;1139957
2150;34;67122.4
7929;255;573664.8
8619;306;944203.5
3209;34;110094.7
1958;17;84792.8
2127;68;203568.2
7368;187;416061.4
5373;102;294750.3
8450;221;524976.2
5204;119;185355.5
6063;85;156246.4
7145;153;411439.5
9850;714;1696850.4
8768;357;813934.5
3899;136;359547.1
6349;221;487835
3730;51;110652.9
4228;34;58230.4
9681;629;1508267.9
6847;255;487378.2
5851;17;27559.1
2519;51;98050.2
4620;136;351390.4
9289;459;1064395.8
1629;17;10647.2
5957;136;371192.2
7039;255;863886
292;17;40589.3
2711;51;107096.1
3538;102;300256.5
2754;68;97650.8
9595;629;1540210.7
3103;51;150171
7431;204;580608.6
3146;68;166238.9
1480;34;44977.9
5267;187;543011.8
9097;442;1204981
6933;153;376555.5
7623;221;522684.8
5459;170;379815.5
9787;527;1309653.8
8705;272;805038.8
3295;136;279245.5
4377;119;371506.1
6541;221;648831.5
3249;68;107705.6
6166;187;636907.9
8158;408;1081565.4
2585;68;152182.7
7517;102;251453.1
3226;102;213798.9
355;17;27268.4
8181;289;779348.5
9060;357;902204.7
1234;85;163582.3
6120;119;300267.5
4128;51;97827.9
6143;187;613686.1
1188;17;15879.8
1729;51;171853.8
7663;255;655556.7
6999;102;125545.8
8991;323;740433.8
9578;476;1145135.9
7640;340;842993.5
6976;204;522400.2
9601;510;1386883.5
8204;204;520502.1
9532;459;1181753.1
7540;187;551288.2
9701;544;1235621.8
9037;340;867275.5
209;17;65965.7
7686;306;710497.8
9014;391;859288.6
9678;663;1728486.6
9555;646;1535348.2
8227;238;631554.4
8496;221;574942.4
5828;136;253954.6
5579;119;246128.9
8081;374;928515.5
670;34;72166.9
5187;187;564335.5
3564;34;80665.6
8722;425;1003292.6
2685;85;173791
7202;221;469726.1
6707;238;554587.3
5625;85;210607.3
2293;85;137727.1
