member_noSource,region_name,gender
6114,Eastern Europea,F
6059,Africa,H
7618,China,F
569,Africa,H
1152,China,F
2137,Africa,H
1146,China,F
2134,Africa,F
7619,China,H
5714,Africa,F
6589,China,H
8734,Africa,F
7073,China,H
5725,Africa,H
1059,China,H
5731,Africa,H
7610,China,F
5747,Africa,H
7640,China,F
8724,Africa,F
1063,China,H
5745,Africa,H
8171,China,H
8728,Africa,F
1655,China,H
2113,Africa,H
7043,China,H
5659,Africa,H
7641,China,H
8680,Africa,F
7638,China,F
8677,Africa,H
6924,China,F
2140,Africa,F
8330,China,F
5909,Africa,H
1420,China,F
8717,Africa,H
9912,China,F
5768,Africa,F
7623,China,H
8702,Africa,F
9894,China,F
8700,Africa,F
7835,China,H
2074,Africa,F
9983,China,H
5801,Africa,H
907,China,H
5802,Africa,F
1656,China,F
5770,Africa,F
8084,China,F
8679,Africa,H
9990,China,F
5805,Africa,H
8335,China,H
5812,Africa,F
9896,China,F
8687,Africa,H
1153,China,H
5813,Africa,H
9972,China,F
8685,Africa,H
9917,China,H
5814,Africa,F
9960,China,F
5818,Africa,F
787,China,H
8694,Africa,F
6971,China,H
2092,Africa,F
6520,China,F
8703,Africa,H
1463,China,H
5916,Africa,F
6988,China,F
625,Africa,H
1092,China,F
2056,Africa,F
1465,China,H
2055,Africa,H
1087,China,H
2047,Africa,H
6523,China,H
603,Africa,H
1702,China,F
5858,Africa,F
8140,China,F
8660,Africa,F
6528,China,F
5862,Africa,F
7757,China,H
2044,Africa,F
899,China,H
8656,Africa,F
7755,China,H
5901,Africa,H
783,China,H
2027,Africa,H
785,China,H
2030,Africa,F
6976,China,F
611,Africa,H
1437,China,H
610,Africa,F
6970,China,F
5872,Africa,F
7731,China,H
2062,Africa,F
6540,China,F
8632,Africa,F
6542,China,F
8676,Africa,F
7016,China,F
5904,Africa,F
1112,China,F
626,Africa,F
7736,China,F
8629,Africa,H
8123,China,H
5921,Africa,H
7711,China,H
5931,Africa,H
7709,China,H
2009,Africa,H
1440,China,F
5908,Africa,F
7025,China,H
2007,Africa,H
1122,China,F
8619,Africa,H
7741,China,H
8618,Africa,F
6962,China,F
5941,Africa,H
7622,China,F
8612,Africa,F
9924,China,F
5950,Africa,F
7086,China,F
5968,Africa,F
464,Japan,F
5972,Africa,F
4670,Japan,F
8622,Africa,F
2621,Japan,H
5902,Africa,F
9203,Japan,H
5789,Africa,H
5136,Japan,F
5804,Africa,F
9201,Japan,H
584,Africa,F
9198,Japan,F
8465,Africa,H
350,Japan,F
6290,Africa,F
4711,Japan,H
6294,Africa,F
9189,Japan,H
1809,Africa,H
7236,Japan,F
6304,Africa,F
1404,Japan,F
6307,Africa,H
9020,Japan,F
1801,Africa,H
8016,Japan,F
721,Africa,H
7249,Japan,H
8466,Africa,F
9205,Japan,H
1799,Africa,H
4679,Japan,H
1795,Africa,H
